generation,avg_engagement,avg_reach,avg_retention,avg_saturation,avg_prod_time
46,0.47967621516975234,0.4152556286688584,0.5332391747529114,0.12934065934065936,2.0485714285714285
47,0.48942779540257236,0.42566853940122734,0.5436242561663578,0.13438186813186814,2.1074285714285717
48,0.4822994751429721,0.41893958648128027,0.5359522562276584,0.1438736263736264,2.0765714285714285
49,0.47882990943691867,0.4122499184246027,0.5326293600024846,0.1457967032967033,2.035428571428571
50,0.4741551763561593,0.40610456053744926,0.5280951572841812,0.14410714285714288,2.0011428571428573
51,0.4850391404686966,0.42042984261906535,0.539297898646157,0.13923076923076927,2.0817142857142854
52,0.49055372185251095,0.42734717375007264,0.5447316972678979,0.13537087912087914,2.1142857142857143
53,0.4830730074908227,0.4190664101392754,0.5369514703875911,0.1406181318681319,2.0668571428571427
54,0.4820483083231085,0.419919510849115,0.5360174082765247,0.14071428571428574,2.052
55,0.4766199148591677,0.4128708287968657,0.5299129626078231,0.1508791208791209,2.0211428571428574
56,0.4772118108672631,0.4149983758119075,0.530806789848183,0.1445879120879121,2.034857142857143
57,0.474560840719551,0.41157719366134726,0.5281525479287477,0.14134615384615387,2.0125714285714285
58,0.4805436108574605,0.417981375086001,0.5340848115459557,0.145467032967033,2.049714285714286
59,0.47122856341168606,0.40708810613349283,0.5247497828183156,0.14032967032967034,1.9942857142857144
60,0.48051327988790704,0.4170116388972117,0.5344230565607857,0.14604395604395606,2.0462857142857147
61,0.4776907859865415,0.41529371509684276,0.5314103386707381,0.14494505494505497,2.042285714285714
62,0.4790623336540322,0.4165378890331515,0.5325686100179677,0.15101648351648353,2.061142857142857
63,0.4892229762436749,0.4270195427302507,0.5430409924915223,0.15744505494505495,2.1142857142857143
64,0.492698273355988,0.42998222845143785,0.5463505656611647,0.16423076923076926,2.122285714285714
65,0.48606745622270003,0.4239013659527556,0.5393408197476585,0.16405219780219782,2.064
66,0.48817329222500655,0.42660866040128764,0.5412833689143258,0.1610439560439561,2.0788571428571427
67,0.4915193180016439,0.4318213674575079,0.5449393794818803,0.16241758241758245,2.094857142857143
68,0.4758945788320251,0.4132083599433708,0.5294439260447025,0.1617582417582418,1.993142857142857
69,0.47592187891704346,0.41762501464408575,0.5292158460079865,0.1648763736263737,2.007428571428571
70,0.47843022226000465,0.4200697184878714,0.5316095528347083,0.16870879120879123,2.013142857142857
71,0.4820833785646652,0.4257414731619674,0.5351921538838914,0.1755082417582418,2.0377142857142854
72,0.48716708444122325,0.43132298043567596,0.5404229594582985,0.16824175824175833,2.0685714285714285
73,0.49384016116892065,0.43603992514966294,0.5477493975559176,0.16609890109890116,2.101142857142857
74,0.49037773235537635,0.4319051561152626,0.5445742226205063,0.16883241758241763,2.093714285714286
75,0.4839979555591791,0.42268243567233,0.5383577994644928,0.1678708791208791,2.047428571428571
76,0.4850138721901542,0.42871528650153523,0.5398105312478567,0.17114010989010991,2.0634285714285716
77,0.4803221839531797,0.42247645826475705,0.535262018821884,0.16484890109890113,2.0325714285714285
78,0.49264537467103314,0.43610126725526094,0.5474747929110193,0.17085164835164834,2.106285714285714
79,0.48369070161984823,0.42418469423460414,0.5381398424172064,0.17278846153846156,2.042285714285714
80,0.4807509227309295,0.4221445553200057,0.5351603340783231,0.17326923076923084,2.0308571428571427
81,0.48788688477283243,0.429582113483174,0.5426275655262787,0.17383241758241763,2.0725714285714285
82,0.4849996986443213,0.4282828302881775,0.5391540442264787,0.17627747252747258,2.065142857142857
83,0.4909258543994963,0.4324064079414098,0.5451096357272772,0.18079670329670336,2.1051428571428574
84,0.4885975083714785,0.4301084884346979,0.54237624918228,0.18204670329670336,2.093142857142857
85,0.48955905817694306,0.4331007592423229,0.5434142899273405,0.18074175824175825,2.0942857142857143
86,0.49416138112961794,0.43580584267701516,0.5484078068277276,0.1688873626373627,2.1125714285714285
87,0.49776473348860983,0.4409556652311717,0.5521940271604027,0.1790934065934066,2.1342857142857143
88,0.4912798230633054,0.4323339613251181,0.5458579169937934,0.1876923076923077,2.093714285714286
89,0.4960259319858916,0.43720679159877657,0.5504128461654588,0.18660714285714292,2.108
90,0.49621354702815856,0.4370962311003082,0.5507917092392492,0.18936813186813192,2.1405714285714286
91,0.48834549944310024,0.4284262682113675,0.5426229590606094,0.18333791208791214,2.0725714285714285
92,0.47193045860581184,0.4095086058673725,0.525822716029644,0.1853296703296704,1.9862857142857147
93,0.4860092460221278,0.4295242359810308,0.5408382387166066,0.18583791208791214,2.0725714285714285
94,0.4903019075831177,0.43312862917112227,0.5452228471651923,0.18883241758241762,2.0857142857142854
95,0.4907686155794058,0.4303512264842306,0.5460165311655634,0.18203296703296704,2.0897142857142854
96,0.4847778253259041,0.4245893751366947,0.5395434684551286,0.18263736263736274,2.0422857142857143
97,0.4889237194915836,0.43254342793317685,0.5439141202989927,0.1863736263736264,2.0748571428571427
98,0.48476684813842646,0.4285390600449787,0.539477072664567,0.18384615384615388,2.055428571428571
99,0.4797408880692305,0.4167544006127412,0.5341794520730119,0.18103021978021983,2.0354285714285716
100,0.49158849970038526,0.4342934816551349,0.5469394169197738,0.18156593406593413,2.105142857142857
101,0.4909735578290305,0.4333915570611295,0.5460209600677812,0.17833791208791208,2.113714285714286
102,0.48853638702414237,0.4300134849265656,0.5431396571595155,0.18008241758241758,2.0817142857142854
103,0.49960302624543146,0.44438243402308353,0.5541338893807598,0.18701923076923083,2.1485714285714286
104,0.4817496828417569,0.42228567745207884,0.5349751979458932,0.18237637362637366,2.0502857142857143
105,0.480395086828756,0.4184068204472819,0.5335059715992405,0.1844368131868133,2.0245714285714285
106,0.49164090418387507,0.4304167293905681,0.5452241102797053,0.18387362637362642,2.101714285714286
107,0.49386838053338833,0.4356203882556484,0.5471736467974199,0.1941483516483517,2.121714285714286
108,0.49113244310191284,0.43486602999432217,0.5445370184264896,0.19072802197802205,2.1125714285714285
109,0.48956339867724147,0.4351989542316619,0.5424092058297549,0.20004120879120882,2.1062857142857143
110,0.4966507439861869,0.4418402959890813,0.5499743357289142,0.18681318681318682,2.138285714285714
111,0.49718075941217516,0.44144012458784654,0.5505120880808634,0.1851785714285715,2.141714285714285
112,0.49554089762163434,0.4382119673189706,0.5489786085073054,0.18854395604395605,2.1251428571428566
113,0.5008040519608679,0.44671558585254123,0.5538153201839919,0.19045329670329675,2.1662857142857144
114,0.4933760648301422,0.43736079291578883,0.5461470362915319,0.19898351648351656,2.1165714285714285
115,0.5018218647830885,0.44756681338328896,0.5550822866925421,0.1917445054945055,2.1725714285714286
116,0.4976875207643724,0.4411822049366683,0.5503962335043887,0.19864010989010994,2.1268571428571432
117,0.49870976897596564,0.4427623304375068,0.551418092789414,0.19907967032967036,2.1274285714285712
118,0.49202620756853177,0.43173783950327616,0.5447471612273885,0.193173076923077,2.092
119,0.4898750148219111,0.4287628864543037,0.5424922998672254,0.19457417582417583,2.065714285714286
120,0.49042819340645705,0.431354830645971,0.5430218462206365,0.1950824175824176,2.082285714285714
121,0.4974941830675261,0.4414208617534726,0.55049989194262,0.19620879120879123,2.133142857142857
122,0.493654646883362,0.4346873199948755,0.5466558959624083,0.19260989010989019,2.098857142857143
123,0.5044075031197888,0.4474470014894258,0.5577386200234306,0.20211538461538464,2.165714285714286
124,0.5035284337028451,0.4479930808233412,0.556714911329816,0.20027472527472534,2.158857142857143
125,0.5071078011050651,0.4530111819390252,0.5613138325102397,0.1933516483516484,2.1834285714285717
126,0.502297966661114,0.4485335027306857,0.5562390552304027,0.19567307692307698,2.1577142857142855
127,0.5069837632405946,0.4511227959698595,0.5609918332180888,0.19093406593406603,2.178285714285714
128,0.5076485224202504,0.45460342174036605,0.5620524044899796,0.19277472527472533,2.1959999999999997
129,0.5070685869846023,0.45524812726720926,0.561470217324816,0.19817307692307698,2.184
130,0.5092720224836231,0.45851971040519507,0.5633066428422103,0.19777472527472528,2.1868571428571433
131,0.5052442793616813,0.4504785385833992,0.5594020232781621,0.19609890109890116,2.166285714285715
132,0.4982879989276696,0.440362193251308,0.5526925236910332,0.19465659340659344,2.1319999999999997
133,0.5050663248369264,0.4462909772435101,0.5592971761130762,0.19061813186813192,2.1662857142857144
134,0.5039248289508299,0.44839793170148234,0.558542037824898,0.19221153846153854,2.164571428571429
135,0.5070711605623566,0.45428672213241755,0.5611721476960634,0.19616758241758248,2.1862857142857144
136,0.49679997082669125,0.44318001762991494,0.5507255906066899,0.19450549450549454,2.1154285714285717
137,0.49363016319039943,0.4390149902954869,0.5476412663268833,0.2023626373626374,2.091428571428571
138,0.502504902611287,0.45130126522850994,0.5561556874767575,0.19010989010989016,2.166857142857143
139,0.5050598169962506,0.45318097091747006,0.5591435684764869,0.18292582417582423,2.1851428571428575
140,0.5101911777852034,0.4604984926427869,0.5642188672688195,0.19151098901098906,2.2234285714285718
141,0.5007791698760733,0.44880538548561705,0.5546486228151956,0.18056318681318687,2.177714285714286
142,0.4930671821128616,0.44005032226929086,0.5469291220818607,0.1846703296703297,2.1142857142857143
143,0.49074453281627056,0.43736722738621525,0.5445270938702563,0.18366758241758244,2.111428571428571
144,0.4968121964795116,0.44389782943602846,0.5507010145046859,0.1808928571428572,2.148
145,0.49837018424189883,0.4451561537634672,0.551987524702018,0.174478021978022,2.1582857142857144
146,0.4999945973327127,0.4458638030330205,0.5535277329073013,0.1830769230769231,2.16
147,0.5019650720738228,0.4461014568848,0.5556615001502968,0.18866758241758244,2.1577142857142855
148,0.5159344260939164,0.4663045584249629,0.5700128495033328,0.19435439560439566,2.2520000000000002
149,0.5119743798626846,0.46068559992021646,0.5659533307676372,0.18401098901098906,2.2354285714285718
150,0.49505964982668116,0.43642965490632446,0.548830688804332,0.1827335164835165,2.124571428571428
151,0.5067466964579831,0.45334492881228594,0.5613196602530917,0.18804945054945058,2.2074285714285713
152,0.5151562574168723,0.46318259775076376,0.5696583492636335,0.19162087912087916,2.252
153,0.5089161651235756,0.45535969990419084,0.5636497958906067,0.1972115384615385,2.2045714285714286
154,0.5151926885214405,0.46202408893127356,0.5702449443200979,0.19377747252747254,2.242857142857143
